UF,Município,Situação do Plano,Valor Disponível
SC,ANTONIO CARLOS,Autorizado,86801.42
MG,ANTONIO DIAS,Autorizado,95777.62
BA,ANTONIO GONCALVES,Autorizado,126999.84
MS,ANTONIO JOAO,Autorizado,94414.32
RN,ANTONIO MARTINS,Autorizado,81040.76
PR,ANTONIO OLINTO,Autorizado,84671.03
RS,ANTONIO PRADO,Autorizado,128928.58
MG,ANTONIO PRADO DE MINAS,Autorizado,42747.06
SP,APARECIDA,Autorizado,330578.45
PB,APARECIDA,Autorizado,90316.16
SP,APARECIDA D'OESTE,Autorizado,58460.57
GO,APARECIDA DE GOIANIA,Autorizado,4441227.8
GO,APARECIDA DO RIO DOCE,Autorizado,45700.38
TO,APARECIDA DO RIO NEGRO,Autorizado,58463.16
MS,APARECIDA DO TABOADO,Autorizado,256281.75
RJ,APERIBE,Autorizado,118713.35
ES,APIACA,Autorizado,82272.73
MT,APIACAS,Autorizado,105529.16
SP,APIAI,Autorizado,236588.37
MA,APICUM-ACU,Autorizado,176188.94
SC,APIUNA,Autorizado,111129.07
RN,APODI,Autorizado,332513.69
BA,APORA,Autorizado,189859.2
GO,APORE,Autorizado,58112.97
BA,APUAREMA,Autorizado,83528.31
PR,APUCARANA,Autorizado,1151595.56
AM,APUI,Autorizado,208568.61
CE,APUIARES,Autorizado,156613.36
SE,AQUIDABA,Autorizado,211664.6
MS,AQUIDAUANA,Autorizado,438775.5
CE,AQUIRAZ,Autorizado,717685.53
SC,ARABUTA,Autorizado,56019.31
PB,ARACAGI,Autorizado,179891.06
MG,ARACAI,Autorizado,48170.66
SE,ARACAJU,Autorizado,5806937.73
SP,ARACARIGUAMA,Autorizado,221506.87
BA,ARACAS,Autorizado,128953.17
CE,ARACATI,Autorizado,663916.33
BA,ARACATU,Autorizado,145008.96
SP,ARACATUBA,Autorizado,1627104.81
BA,ARACI,Autorizado,501821.58
MG,ARACITABA,Autorizado,46064.94
PE,ARACOIABA,Autorizado,210987.6
CE,ARACOIABA,Autorizado,260549.9
SP,ARACOIABA DA SERRA,Autorizado,324884.71
ES,ARACRUZ,Autorizado,887067.98
GO,ARACU,Autorizado,52460.8
MG,ARACUAI,Autorizado,349782.79
GO,ARAGARCAS,Autorizado,198500.88
GO,ARAGOIANIA,Autorizado,112061.87
TO,ARAGOMINAS,Autorizado,64032.2
TO,ARAGUACEMA,Autorizado,74546.89
TO,ARAGUACU,Autorizado,82824.24
MT,ARAGUAIANA,Não Cadastrado,46181.18
TO,ARAGUAINA,Autorizado,1549195.52
MT,ARAGUAINHA,Autorizado,31254.21
MA,ARAGUANA,Autorizado,153912.38
TO,ARAGUANA,Autorizado,65078.12
GO,ARAGUAPAZ,Autorizado,82557.17
MG,ARAGUARI,Autorizado,1000179.84
TO,ARAGUATINS,Autorizado,318703.88
MA,ARAIOSES,Autorizado,416885.13
MS,ARAL MOREIRA,Autorizado,128667.94
BA,ARAMARI,Autorizado,123979.82
RS,ARAMBARE,Autorizado,53496.73
MA,ARAME,Autorizado,299906.77
SP,ARAMINA,Autorizado,69314.64
SP,ARANDU,Autorizado,74052.5
MG,ARANTINA,Autorizado,51072.91
SP,ARAPEI,Autorizado,46893.04
AL,ARAPIRACA,Autorizado,1984879.23
TO,ARAPOEMA,Autorizado,70162.3
MG,ARAPONGA,Autorizado,90471.8
PR,ARAPONGAS,Autorizado,1065054.06
MG,ARAPORA,Autorizado,80254.96
PR,ARAPOTI,Autorizado,274896.77
MG,ARAPUA,Autorizado,51467.74
PR,ARAPUA,Autorizado,53708.82
MT,ARAPUTANGA,Autorizado,168209.28
SC,ARAQUARI,Autorizado,362600.4
PB,ARARA,Autorizado,146899.59
SC,ARARANGUA,Autorizado,587180.26
SP,ARARAQUARA,Autorizado,1913397.75
SP,ARARAS,Autorizado,1126598.48
CE,ARARENDA,Autorizado,119675.98
MA,ARARI,Autorizado,271368.54
RS,ARARICA,Autorizado,69400.35
CE,ARARIPE,Autorizado,215757.69
PE,ARARIPINA,Autorizado,744783.76
RJ,ARARUAMA,Autorizado,1101829.42
PR,ARARUNA,Autorizado,152621.08
PB,ARARUNA,Autorizado,205886.82
BA,ARATACA,Autorizado,119719.91
RS,ARATIBA,Autorizado,71512.99
CE,ARATUBA,Autorizado,125051.07
BA,ARATUIPE,Autorizado,94430.88
SE,ARAUA,Autorizado,108619.06
PR,ARAUCARIA,Autorizado,1300982.58
MG,ARAUJOS,Autorizado,97786.36
MG,ARAXA,Autorizado,920596.36
MG,ARCEBURGO,Autorizado,118555.55
SP,ARCO-IRIS,Não Cadastrado,42065.16
MG,ARCOS,Autorizado,377094.62
PE,ARCOVERDE,Autorizado,664480.41
MG,AREADO,Autorizado,158933.64
RJ,AREAL,Autorizado,123749.02
SP,AREALVA,Autorizado,89928.41
PB,AREIA,Autorizado,218929.74
RN,AREIA BRANCA,Autorizado,268368.54
SE,AREIA BRANCA,Autorizado,191085.47
PB,AREIA DE BARAUNAS,Autorizado,46144.81
PB,AREIAL,Autorizado,80424.87
SP,AREIAS,Autorizado,56964.41
SP,AREIOPOLIS,Autorizado,117360.15
MT,ARENAPOLIS,Autorizado,90061.61
GO,ARENOPOLIS,Autorizado,45617.27
RN,ARES,Autorizado,153003.45
MG,ARGIRITA,Autorizado,50394.11
MG,ARICANDUVA,Autorizado,68569.69
MG,ARINOS,Autorizado,187287.52
MT,ARIPUANA,Autorizado,209693.09
RO,ARIQUEMES,Autorizado,890893.35
SP,ARIRANHA,Autorizado,98143.43
PR,ARIRANHA DO IVAI,Autorizado,47301.66
RJ,ARMACAO DOS BUZIOS,Autorizado,313536.86
SC,ARMAZEM,Autorizado,87708.82
CE,ARNEIROZ,Autorizado,87060.67
PI,AROAZES,Autorizado,66586.54
PB,AROEIRAS,Autorizado,195295.94
PI,AROEIRAS DO ITAIM,Autorizado,43950.19
PI,ARRAIAL,Autorizado,58925.65
RJ,ARRAIAL DO CABO,Autorizado,284216.29
TO,ARRAIAS,Autorizado,105431.29
RS,ARROIO DO MEIO,Autorizado,204195.11
RS,ARROIO DO PADRE,Autorizado,49493.12
RS,ARROIO DO SAL,Autorizado,111210.17
RS,ARROIO DO TIGRE,Autorizado,131775.45
RS,ARROIO DOS RATOS,Autorizado,146613.06
RS,ARROIO GRANDE,Autorizado,183858.44
SC,ARROIO TRINTA,Autorizado,51025.19
SP,ARTUR NOGUEIRA,Autorizado,499269.95
GO,ARUANA,Autorizado,109706.82
SP,ARUJA,Autorizado,789935.3
SC,ARVOREDO,Autorizado,41888.91
RS,ARVOREZINHA,Autorizado,110787.64
SC,ASCURRA,Autorizado,82015.09
SP,ASPASIA,Autorizado,42480.76
PR,ASSAI,Autorizado,157906.13
CE,ASSARE,Autorizado,228433.46
SP,ASSIS,Autorizado,892133.48
AC,ASSIS BRASIL,Autorizado,73128.65
PR,ASSIS CHATEAUBRIAND,Autorizado,319414.19
PB,ASSUNCAO,Autorizado,59734.93
PI,ASSUNCAO DO PIAUI,Autorizado,80855.46
MG,ASTOLFO DUTRA,Autorizado,152491.86
PR,ASTORGA,Autorizado,259824.36
PR,ATALAIA,Autorizado,60081.36
AL,ATALAIA,Autorizado,441885.11
AM,ATALAIA DO NORTE,Autorizado,195608.84
SC,ATALANTA,Autorizado,48476.16
MG,ATALEIA,Autorizado,139594.39
SP,ATIBAIA,Autorizado,1244258.45
ES,ATILIO VIVACQUA,Autorizado,125032.61
TO,AUGUSTINOPOLIS,Autorizado,179737.37
PA,AUGUSTO CORREA,Autorizado,407275.55
MG,AUGUSTO DE LIMA,Autorizado,65300.31
RS,AUGUSTO PESTANA,Autorizado,74283.66
RS,AUREA,Autorizado,53309.71
BA,AURELINO LEAL,Autorizado,120932.08
SP,AURIFLAMA,Autorizado,155936.9
GO,AURILANDIA,Autorizado,49343.8
CE,AURORA,Autorizado,246468.02
SC,AURORA,Autorizado,65848.24
PA,AURORA DO PARA,Autorizado,288765.56
TO,AURORA DO TOCANTINS,Autorizado,50899.24
AM,AUTAZES,Autorizado,360622.68
SP,AVAI,Autorizado,67776.95
SP,AVANHANDAVA,Autorizado,147257.79
SP,AVARE,Autorizado,785356.78
PA,AVEIRO,Autorizado,154822.09
PI,AVELINO LOPES,Autorizado,113734.22
GO,AVELINOPOLIS,Não Cadastrado,45194.73
MA,AXIXA,Autorizado,121010.33
TO,AXIXA DO TOCANTINS,Autorizado,92514.64
TO,BABACULANDIA,Autorizado,106581.12
MA,BACABAL,Autorizado,873028.97
MA,BACABEIRA,Autorizado,175246.92
MA,BACURI,Autorizado,184113.04
MA,BACURITUBA,Autorizado,66656.38
SP,BADY BASSITT,Autorizado,184587.72
MG,BAEPENDI,Autorizado,196977.94
RS,BAGE,Autorizado,1005756.32
PA,BAGRE,Autorizado,287151.62
PB,BAIA DA TRAICAO,Autorizado,95268.72
RN,BAIA FORMOSA,Autorizado,96355.63
BA,BAIANOPOLIS,Autorizado,152067.23
PA,BAIAO,Autorizado,424709.97
BA,BAIXA GRANDE,Autorizado,207806.2
PI,BAIXA GRANDE DO RIBEIRO,Autorizado,116435.65
CE,BAIXIO,Autorizado,76462.87
ES,BAIXO GUANDU,Autorizado,296633.23
SP,BALBINOS,Autorizado,72348.54
MG,BALDIM,Autorizado,85713.18
GO,BALIZA,Autorizado,66092.48
SC,BALNEARIO ARROIO DO SILVA,Autorizado,139557.2
SC,BALNEARIO BARRA DO SUL,Autorizado,113345.61
SC,BALNEARIO CAMBORIU,Autorizado,1255892.48
SC,BALNEARIO GAIVOTA,Autorizado,115188.11
SC,BALNEARIO PICARRAS,Autorizado,230638.21
RS,BALNEARIO PINHAL,Autorizado,149688.49
SC,BALNEARIO RINCAO,Autorizado,126215.35
PR,BALSA NOVA,Autorizado,136052.77
SP,BALSAMO,Autorizado,93696.53
MA,BALSAS,Autorizado,807557.23
MG,BAMBUI,Autorizado,240244.92
CE,BANABUIU,Autorizado,192248.56
SP,BANANAL,Autorizado,116341.94
PB,BANANEIRAS,Autorizado,210112.07
MG,BANDEIRA,Autorizado,64642.26
MG,BANDEIRA DO SUL,Autorizado,72053.8
SC,BANDEIRANTE,Autorizado,44590.32
PR,BANDEIRANTES,Autorizado,303863.83
MS,BANDEIRANTES,Autorizado,81939.37
TO,BANDEIRANTES DO TOCANTINS,Autorizado,49666.3
PA,BANNACH,Autorizado,47083.07
BA,BANZAE,Autorizado,147024.62
RS,BARAO,Autorizado,72115.6
SP,BARAO DE ANTONINA,Em Elaboração,54325.35
MG,BARAO DE COCAIS,Autorizado,315049
RS,BARAO DE COTEGIPE,Autorizado,74775.45
MA,BARAO DE GRAJAU,Autorizado,186191.04
MT,BARAO DE MELGACO,Autorizado,81514.11
MG,BARAO DE MONTE ALTO,Autorizado,68611.23
RS,BARAO DO TRIUNFO,Autorizado,81244.95
PB,BARAUNA,Autorizado,66426.09
RN,BARAUNA,Autorizado,274990.42
MG,BARBACENA,Autorizado,1154169.58
CE,BARBALHA,Autorizado,557913.14
SP,BARBOSA,Autorizado,82080.5
PR,BARBOSA FERRAZ,Autorizado,122538.82
PA,BARCARENA,Autorizado,1043732.02
RN,BARCELONA,Autorizado,59062.46
AM,BARCELOS,Autorizado,251941.03
SP,BARIRI,Autorizado,328036.35
BA,BARRA,Autorizado,497125.32
SP,BARRA BONITA,Autorizado,329982.75
SC,BARRA BONITA,Autorizado,37712.14
PI,BARRA D'ALCANTARA,Autorizado,53661.38
BA,BARRA DA ESTIVA,Autorizado,206192.26
PE,BARRA DE GUABIRABA,Autorizado,156326.72
PB,BARRA DE SANTA ROSA,Autorizado,160711.37
PB,BARRA DE SANTANA,Autorizado,89318.73
AL,BARRA DE SANTO ANTONIO,Autorizado,168514.67
ES,BARRA DE SAO FRANCISCO,Autorizado,413891.02
PB,BARRA DE SAO MIGUEL,Autorizado,73782.2
AL,BARRA DE SAO MIGUEL,Autorizado,92196.94
MT,BARRA DO BUGRES,Autorizado,313434.52
SP,BARRA DO CHAPEU,Autorizado,70041.96
BA,BARRA DO CHOCA,Autorizado,301939.14
MA,BARRA DO CORDA,Autorizado,742689.25
MT,BARRA DO GARCAS,Autorizado,527220.55
RS,BARRA DO GUARITA,Autorizado,51571.1
PR,BARRA DO JACARE,Autorizado,52531.29
BA,BARRA DO MENDES,Autorizado,146172.64
TO,BARRA DO OURO,Autorizado,56883.89
RJ,BARRA DO PIRAI,Autorizado,833096.02
RS,BARRA DO QUARAI,Autorizado,58303.84
RS,BARRA DO RIBEIRO,Autorizado,142574.81
RS,BARRA DO RIO AZUL,Autorizado,40176.75
BA,BARRA DO ROCHA,Autorizado,71344.29
SP,BARRA DO TURVO,Autorizado,82593.07
SE,BARRA DOS COQUEIROS,Autorizado,298688.8
RS,BARRA FUNDA,Autorizado,46701.66
MG,BARRA LONGA,Autorizado,65799.02
RJ,BARRA MANSA,Autorizado,1514481.34
SC,BARRA VELHA,Autorizado,273264.9
PR,BARRACAO,Autorizado,116027.78
RS,BARRACAO,Autorizado,65223.58
PI,BARRAS,Autorizado,415218.35
CE,BARREIRA,Autorizado,222739.75
BA,BARREIRAS,Autorizado,1441408.65
